time_sent,time_received,time_elapsed
2023-04-24 21:48:08.066248,2023-04-24 21:48:08.069177,2.929
2023-04-24 21:48:08.068201,2023-04-24 21:48:08.070155,1.954
2023-04-24 21:48:08.070155,2023-04-24 21:48:08.073082,2.927
2023-04-24 21:48:08.071130,2023-04-24 21:48:08.074060,2.93
2023-04-24 21:48:08.073082,2023-04-24 21:48:08.096519,23.437
2023-04-24 21:48:08.075036,2023-04-24 21:48:08.104330,29.294
2023-04-24 21:48:08.102379,2023-04-24 21:48:08.105841,3.462
2023-04-24 21:48:08.106801,2023-04-24 21:48:08.114613,7.812
2023-04-24 21:48:08.104330,2023-04-24 21:48:08.123401,19.071
2023-04-24 21:48:08.126330,2023-04-24 21:48:08.128283,1.953
2023-04-24 21:48:08.126330,2023-04-24 21:48:08.130237,3.907
2023-04-24 21:48:08.129261,2023-04-24 21:48:08.133166,3.905
2023-04-24 21:48:08.131215,2023-04-24 21:48:08.134146,2.931
2023-04-24 21:48:08.133166,2023-04-24 21:48:08.137072,3.906
2023-04-24 21:48:08.135120,2023-04-24 21:48:08.138049,2.929
2023-04-24 21:48:08.137072,2023-04-24 21:48:08.141955,4.883
2023-04-24 21:48:08.140002,2023-04-24 21:48:08.146837,6.835
2023-04-24 21:48:08.143909,2023-04-24 21:48:08.149768,5.859
2023-04-24 21:48:08.149768,2023-04-24 21:48:08.152697,2.929
2023-04-24 21:48:08.150743,2023-04-24 21:48:08.155625,4.882
2023-04-24 21:48:08.153673,2023-04-24 21:48:08.158097,4.424
2023-04-24 21:48:08.156603,2023-04-24 21:48:08.160051,3.448
2023-04-24 21:48:08.159074,2023-04-24 21:48:08.161027,1.953
2023-04-24 21:48:08.160051,2023-04-24 21:48:08.162981,2.93
2023-04-24 21:48:08.162004,2023-04-24 21:48:08.186988,24.984
2023-04-24 21:48:08.163957,2023-04-24 21:48:08.188940,24.983
2023-04-24 21:48:08.187964,2023-04-24 21:48:08.189917,1.953
2023-04-24 21:48:08.189917,2023-04-24 21:48:08.192846,2.929
2023-04-24 21:48:08.190893,2023-04-24 21:48:08.194799,3.906
2023-04-24 21:48:08.192846,2023-04-24 21:48:08.200659,7.813
2023-04-24 21:48:08.194799,2023-04-24 21:48:08.204563,9.764
2023-04-24 21:48:08.200659,2023-04-24 21:48:08.206517,5.858
